epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,123.07263946533203,123.07263946533203,15197.2294921875,121.02617645263672,121.02617645263672,14693.55859375
1,119.223388671875,119.223388671875,14263.1796875,117.32833099365234,117.32833099365234,13810.2236328125
2,115.39878845214844,115.39878845214844,13368.3310546875,113.63922119140625,113.63922119140625,12963.0888671875
3,111.56726837158203,111.56726837158203,12501.103515625,109.93157958984375,109.93157958984375,12139.1728515625
4,107.74873352050781,107.74873352050781,11666.01953125,106.18008422851562,106.18008422851562,11330.2626953125
5,103.92373657226562,103.92373657226562,10862.4296875,102.51671600341797,102.51671600341797,10577.4755859375
6,100.10118103027344,100.10118103027344,10087.5361328125,98.76200103759766,98.76200103759766,9822.35546875
7,96.29106140136719,96.29106140136719,9347.6259765625,95.08917236328125,95.08917236328125,9125.376953125
8,92.45275115966797,92.45275115966797,8630.9306640625,91.35459899902344,91.35459899902344,8433.97265625
9,88.63471221923828,88.63471221923828,7949.712890625,87.62893676757812,87.62893676757812,7780.57080078125
10,84.83350372314453,84.83350372314453,7302.47412109375,83.9293212890625,83.9293212890625,7158.3818359375
11,80.99752807617188,80.99752807617188,6673.626953125,80.1971435546875,80.1971435546875,6557.51318359375
12,77.16529846191406,77.16529846191406,6089.9580078125,76.54847717285156,76.54847717285156,6009.072265625
13,73.33301544189453,73.33301544189453,5539.39404296875,72.8637466430664,72.8637466430664,5485.21630859375
14,69.52239227294922,69.52239227294922,5015.28857421875,69.14165496826172,69.14165496826172,4973.76025390625
15,65.70548248291016,65.70548248291016,4521.7890625,65.47718048095703,65.47718048095703,4511.7451171875
16,61.87617492675781,61.87617492675781,4056.403076171875,61.77174377441406,61.77174377441406,4066.150390625
17,58.0333366394043,58.0333366394043,3612.58740234375,58.005348205566406,58.005348205566406,3624.160400390625
18,54.22434616088867,54.22434616088867,3211.537109375,54.320777893066406,54.320777893066406,3242.593505859375
19,50.40182876586914,50.40182876586914,2827.0595703125,50.5670280456543,50.5670280456543,2863.240966796875
20,46.59146499633789,46.59146499633789,2480.083251953125,46.877601623535156,46.877601623535156,2532.01416015625
21,42.89337921142578,42.89337921142578,2154.479736328125,43.14324188232422,43.14324188232422,2173.59033203125
22,39.23363494873047,39.23363494873047,1826.0216064453125,39.384376525878906,39.384376525878906,1821.2562255859375
23,35.60023880004883,35.60023880004883,1514.4871826171875,35.56076431274414,35.56076431274414,1495.3177490234375
24,31.94425392150879,31.94425392150879,1216.7386474609375,31.685823440551758,31.685823440551758,1188.542724609375
25,28.27936553955078,28.27936553955078,967.2614135742188,27.889171600341797,27.889171600341797,932.8356323242188
26,24.649415969848633,24.649415969848633,736.8839111328125,24.05579376220703,24.05579376220703,697.2730102539062
27,21.02227783203125,21.02227783203125,539.9673461914062,20.14524269104004,20.14524269104004,489.05242919921875
28,17.418821334838867,17.418821334838867,374.96990966796875,16.362558364868164,16.362558364868164,327.6629333496094
29,13.869067192077637,13.869067192077637,241.3722381591797,12.576932907104492,12.576932907104492,193.77117919921875
30,10.419158935546875,10.419158935546875,141.47967529296875,8.909672737121582,8.909672737121582,101.60958862304688
31,7.252303123474121,7.252303123474121,75.03179931640625,5.681460380554199,5.681460380554199,47.91615676879883
32,5.015244007110596,5.015244007110596,40.64047622680664,4.101256847381592,4.101256847381592,28.06535530090332
33,4.059080123901367,4.059080123901367,28.392383575439453,3.597156524658203,3.597156524658203,22.46022605895996
34,3.7729272842407227,3.7729272842407227,25.348703384399414,3.5049378871917725,3.5049378871917725,21.363542556762695
35,3.729590892791748,3.729590892791748,24.576269149780273,3.5490171909332275,3.5490171909332275,22.236732482910156
36,3.7329962253570557,3.7329962253570557,25.102191925048828,3.5374884605407715,3.5374884605407715,21.982786178588867
37,3.720351219177246,3.720351219177246,24.646610260009766,3.532505989074707,3.532505989074707,21.76089859008789
38,3.7263898849487305,3.7263898849487305,24.79584312438965,3.54229998588562,3.54229998588562,22.034423828125
39,3.7116808891296387,3.7116808891296387,25.004674911499023,3.65482234954834,3.65482234954834,23.304758071899414
40,3.731459856033325,3.731459856033325,24.89215660095215,3.584831953048706,3.584831953048706,22.586572647094727
41,3.7244720458984375,3.7244720458984375,24.79164695739746,3.5246541500091553,3.5246541500091553,21.720863342285156
42,3.739250421524048,3.739250421524048,24.88152313232422,3.5279407501220703,3.5279407501220703,21.956928253173828
43,3.7258238792419434,3.7258238792419434,24.50425910949707,3.5352401733398438,3.5352401733398438,21.913393020629883
44,3.7204768657684326,3.7204768657684326,24.85688018798828,3.5899970531463623,3.5899970531463623,22.687698364257812
